"Ravage 2099#24 (November, 1994),","November, 1994"
"Hostess ad The Spider-Man and the Fly from Inhumans I#7 (October, 1976) and other issues published in that month,","October, 1976"
"Generation M#1 (January, 2006),","January, 2006"
"Civil War Young Avengers & Runaways#1 (September, 2006),","September, 2006"
"Marvel Fanfare II#2 (October, 1996),","October, 1996"
"Peter Parker Spider-Man Annual 2001 (2001),",Annual-68
"Web of Spider-Man#37 (April, 1988),","April, 1988"
"Inhumans I#3 (February, 1976),","February, 1976"
"(comic) Spidey Super Stories#18/2 (September, 1976); (television) Electric Company season 5 episode (1975-1976),","September, 1976"
"Amazing Spider-Man II#30 (June, 2001),","June, 2001"
"Web of Spider-Man I#113 (June, 1994),",24990
"Fast Lane insert#1 (November, 1999),","November, 1999"
"Spider-Man Unlimited III#4/2 (September, 2004),","September, 2004"
"X-Men II Annual#3 (1994),",1994
"(as Everyman) Captain America I#267 (March, 1982); (as Zeitgeist) Alpha Flight I#78 (December, 1989),","March, 1982"
"Peter Parker Spider-Man II#48 (November, 2002),",25143
"Giant-Size Spider-Man#1 (July, 1974);,","July, 1974"
"(BTS) Ghost Rider II#21 (December, 1976); (seen) Ghost Rider II#22 (February, 1977),","December, 1976"
"Venom License to Kill#1 (June, 1997),",24990
"Marvel Team-Up I#5 (November 1972),",26604
"(Alaisa) Silver Surfer III#65 (May, 1992), (Avatar) Silver Surfer III#66 (June 1992),","May, 1992"
"Thor I#219 (January, 1974),","January, 1974"
"Namor The Sub-Mariner Annual#3/1 (1993),",1993
"(as one of the Monitors) Marvel Two-In-One Annual#3 (1978); (as the Last Monitor) Quasar#16 (November, 1990); (as Nyborn/Nygorn) Starblast#1 (January, 1994),",1978
"Ultra Girl#1 (December, 1996),","December, 1996"
